områden,2006 Öppet arbetslösa- andel av befolkn 18-64 år,2006 Summa öppet arbetslösa samt personer i program m aktivitetsstöd- andel av bef 18-64 år,2007 Öppet arbetslösa- andel av befolkn 18-64 år,2007 Summa öppet arbetslösa samt personer i program m aktivitetsstöd- andel av bef 18-64 år,2008 Öppet arbetslösa- andel av befolkn 18-64 år,2008 Summa öppet arbetslösa samt personer i program m aktivitetsstöd- andel av bef 18-64 år,2009 Öppet arbetslösa- andel av befolkn 18-64 år,2009 Summa öppet arbetslösa samt personer i program m aktivitetsstöd- andel av bef 18-64 år,2010 Öppet arbetslösa- andel av befolkn 18-64 år,2010 Summa öppet arbetslösa samt personer i program m aktivitetsstöd- andel av bef 18-64 år,2011 Öppet arbetslösa- andel av befolkn 18-64 år,2011 Summa öppet arbetslösa samt personer i program m aktivitetsstöd- andel av bef 18-64 år,2012 Öppet arbetslösa- andel av befolkn 18-64 år,2012 Summa öppet arbetslösa samt personer i prog+P4ram m aktivitetsstöd- andel av bef 18-64 år,2013 Öppet arbetslösa- andel av befolkn 18-64 år,2013 Summa öppet arbetslösa samt personer i program m aktivitetsstöd- andel av bef 18-64 år,2014 Öppet arbetslösa- andel av befolkn 18-64 år,2014 Summa öppet arbetslösa samt personer i program m aktivitetsstöd- andel av bef 18-64 år,2015 Öppet arbetslösa- andel av befolkn 18-64 år,2015 Summa öppet arbetslösa samt personer i program m aktivitetsstöd- andel av bef 18-64 år
Edsvalla Karlstad,3,8.2,3.8,4.8,2.3,5.2,4.4,8.4,4.3,8.6,3,7.2,4.3,8.3,3.7,8.4,4.2,8.1,3,5.5
Färjestad Karlstad,2.7,5.3,2.2,2.9,2.7,4,2.8,5.6,2.4,6.1,2.2,5.1,2.6,5.5,3.1,5.9,2.5,5.2,2.3,5
Gruvlyckan Karlstad,3.9,8.9,4.9,7.7,4.8,7.6,8.4,13.1,6.5,13,8,14.1,7.6,13.2,7,14,4,14.6,5.1,13.4
Haga Karlstad,2.7,5.9,2.8,4.4,2.6,4.6,4.2,8.7,3.6,7.5,3.6,6.9,3.7,6.2,2.6,5.9,2.1,4.7,2.6,5.2
Hagalund Karlstad,2.2,5.3,2.1,3.3,2.3,3.1,2.5,4.3,1.6,3.9,2.5,4.4,2.5,4.6,3.2,5.2,1.7,4.3,1.7,3.2
Gustavsberg Karlstad,2.2,5.3,2.1,3.3,2.3,3.1,2.5,4.3,1.6,3.9,2.5,4.4,2.5,4.6,3.2,5.2,1.7,4.3,1.7,3.2
Herrhagen Karlstad,2.6,6.4,2.9,4.3,3.3,4.9,4.5,7.4,3.2,6.8,3,6.2,3.3,6.3,3.2,6.2,2.1,5,2.7,5.3
Hultsberg Karlstad,2,3.9,2,2.6,1.6,2.5,2.9,4.5,2.2,4,2.7,4.5,2.6,5.4,1.2,2.7,1.7,3.3,1.7,3.4
Henstad Karlstad,2,3.9,2,2.6,1.6,2.5,2.9,4.5,2.2,4,2.7,4.5,2.6,5.4,1.2,2.7,1.7,3.3,1.7,3.4
Klara Karlstad,3.2,6.6,2.5,3.4,1.4,2.2,2.7,4.3,2.6,3.7,1.7,3.3,1.4,3.4,2,4.4,2.3,3.9,3,4.4
Kronoparken Karlstad,3.5,8.2,4.4,6.1,4.6,6.6,6.5,10.1,5.4,10.4,5.5,9.9,5.5,10.7,5,10.6,2.2,9.3,4.8,10.1
södra Kroppkärr Karlstad,1.6,4.4,1.4,2.2,1.3,2.1,3,3.9,1.8,3.6,1.5,2.8,1.9,3.1,1.8,3.3,1.6,2.2,1.1,2.3
norra Kroppkärr Karlstad,1.6,4.4,1.4,2.2,1.3,2.1,3,3.9,1.8,3.6,1.5,2.8,1.9,3.1,1.8,3.3,1.6,2.2,1.1,2.3
Kvarnberget Karlstad,2.9,7.2,2.6,4.3,3.2,5.8,3.6,7.1,3.1,7.1,3.2,7.3,3.6,7.7,4.2,8.5,2.5,6.6,3.7,7.5
Lamberget Karlstad,2.6,7.3,3.1,5.2,2.1,4.2,3.8,7.7,3.7,8.5,2.2,5.6,3.4,7.1,3.8,7.5,2,5.6,3.5,8.2
Örsholmen Karlstad,2.6,7.3,3.1,5.2,2.1,4.2,3.8,7.7,3.7,8.5,2.2,5.6,3.4,7.1,3.8,7.5,2,5.6,3.5,8.2
Sjöstad Karlstad,2.6,7.3,3.1,5.2,2.1,4.2,3.8,7.7,3.7,8.5,2.2,5.6,3.4,7.1,3.8,7.5,2,5.6,3.5,8.2
Karlstad Lorensberg,1.3,4.5,1.2,2,1.3,2,2,3.1,2.3,4.4,2,4.4,1.9,3.6,2.2,3.8,1.6,3,1.7,2.6
Molkom Karlstad,3.5,6.9,2.9,4.1,2.9,4.5,4.2,7.8,3.6,8.1,3.5,7.7,2.6,6.1,3.4,6.9,2.6,5.9,2.9,6.3
Norrstrand Karlstad,2.7,6.5,2.2,3.7,2.9,4.4,4,6.8,3.3,6.9,2.7,6.3,3,6.6,3.1,6.7,2.3,5.9,2.3,6
Orrholmen Karlstad,3.8,8.8,3.8,6,3.7,6,4.3,8,5.1,9.7,4.5,8.1,4,8,4.5,9,2.8,9.7,3.1,8.4
Romstad Karlstad,3.1,5.8,2.6,3.5,2.4,3.2,3.9,6.4,3,5,2.7,5.3,2.9,4.8,2.2,5.3,2.5,5.2,2,4.1
Strand Karlstad,3.1,5.8,2.6,3.5,2.4,3.2,3.9,6.4,3,5,2.7,5.3,2.9,4.8,2.2,5.3,2.5,5.2,2,4.1
Rud Karlstad,4.3,10.8,4.1,6.5,4.8,7.8,6.7,12.7,5.4,12.1,6.3,12.9,6.1,14.3,5.5,14,3.9,12,4.6,11.7
Råtorp Karlstad,2.2,4.9,1.5,2.7,1.8,2.8,2.4,3.6,2,3.8,1.7,3.5,2.2,3.6,2.1,3.6,1.5,2.6,1.3,3.1
Älvåker Karlstad,2.2,4.9,1.5,2.7,1.8,2.8,2.4,3.6,2,3.8,1.7,3.5,2.2,3.6,2.1,3.6,1.5,2.6,1.3,3.1
Skattkärr Karlstad,2,5.5,2.3,3.2,2.4,3.7,3.4,5.4,2.8,6,2.7,5.6,1.9,4.8,2.7,4.8,1.8,3.9,1.7,4.1
Skåre Karlstad,2.2,5.4,2.8,4.1,1.9,2.9,3.1,5.4,2.5,5.3,2.6,4.5,2.2,4.2,2.2,4.9,1.7,4.1,1.8,4
samhälle Skåre,1.9,4.8,2.1,3.4,2,3.5,2.9,5,2.4,4.7,1.8,4.3,2.7,5,2.1,4.1,1.5,3.6,1.7,3.7
Sommarro Karlstad,2.3,4.7,1.8,3.4,2.2,3.1,2.6,4.7,3.3,6.5,2.2,4.6,2.1,4.3,2.1,3.9,1.8,2.7,1.1,2.3
Marieberg Karlstad,2.3,4.7,1.8,3.4,2.2,3.1,2.6,4.7,3.3,6.5,2.2,4.6,2.1,4.3,2.1,3.9,1.8,2.7,1.1,2.3
Stockfallet Karlstad,1.7,5.4,2.2,3.4,1.2,2.6,2.6,4.2,2.4,4.4,2.6,4,2.1,3.8,2.4,4.3,1.6,2.7,1.8,3.8
Sundsta,2.4,6.1,2.1,2.8,1.3,2.8,4,5.7,2.3,4.7,2.2,5,2.3,4,2.6,3.6,1.9,4.5,1.6,3.7
Tingvallastaden Karlstad,2.8,5.2,2.6,3.7,2.2,3.8,3.8,6.4,2.3,5.1,2.5,5,3.1,5.6,3,5.6,1.4,3.7,2.1,3.6
Vallargärdet Karlstad,2.3,6.1,2.4,3.4,2,3.1,2.9,5.3,3,5.5,2,5.2,2.9,5.7,2.4,4.6,2.1,4.7,1.4,3.1
Viken Karlstad,2.2,6.7,2.9,4.3,1.9,3.1,2.7,5.4,2.5,6,3,6.5,3.8,6.2,2.6,4.9,2.3,5.3,2.1,4.3
Vålberg Karlstad,3.5,8.2,2.8,4.4,4.3,6.7,5.9,9.6,4.1,9.3,3.8,9.2,5.2,10,4.5,10.7,3.2,9,4.1,9.4
Våxnäs Karlstad,5.2,11.2,4,6.7,4.4,7.9,6.8,12.2,6.4,12.5,5.8,11.8,5.5,12.2,4.9,12.4,3.4,11.7,5.2,11.5
Sandbäcken Karlstad,5.2,11.2,4,6.7,4.4,7.9,6.8,12.2,6.4,12.5,5.8,11.8,5.5,12.2,4.9,12.4,3.4,11.7,5.2,11.5
Väse Karlstad,2.4,6.2,1.7,3.1,1.9,3.6,3.6,6.3,2.8,6.3,3.5,6.6,3.6,6.4,3.1,5.8,2.8,5.8,2.4,4.8
Zakrisdal Karlstad,2.9,6.5,2.6,4.2,2.6,4.5,4.7,8.4,4.2,8.6,3.6,8.6,4.2,8.4,3.7,7.2,3,7.8,2.6,6.8
Bellevue Karlstad,2.9,6.5,2.6,4.2,2.6,4.5,4.7,8.4,4.2,8.6,3.6,8.6,4.2,8.4,3.7,7.2,3,7.8,2.6,6.8
Bergvik Karlstad,2.9,6.5,2.6,4.2,2.6,4.5,4.7,8.4,4.2,8.6,3.6,8.6,4.2,8.4,3.7,7.2,3,7.8,2.6,6.8
Karlstads kommun,2.9,6.8,2.8,4.3,2.9,4.7,4.3,7.3,4.2,7.4,3.4,7,3.6,7.2,3.4,7.2,2.3,6.3,2.8,6.2
Riket,3.2,6,2.6,3.7,2.7,5.1,4.3,6.8,3.7,6.9,3.5,6.4,3.7,6.9,3.6,6.9,3.3,6.3,3.3,6.3
