OPENDATA_IDENTIFICADOR,PROMOTOR,TIPUS_ACCES,VELOCITAT_CARREGA1,TIPUS_CONNEXIO1,VELOCITAT_CARREGA2,TIPUS_CONNEXIO2,VELOCITAT_CARREGA3,TIPUS_CONNEXIO3,Latitude,Longitude,DESIGNACIO_DESCRIPTIVA,ADREÇA,MUNICIPI,CODI_INE,PROVINCIA,CODI_PROV,NUM_PLACES_CARREGA,TIPUS_VEHICLE1,TIPUS_VEHICLE2,TELEFON,CODI_ASIA,CODI_BCN
08-0193-1-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.401478,2.156578,B:SM 56 - Plaça del Sol,Plaça del Sol, 5,Barcelona,0193,Barcelona,08,1,cotxe,,,92086026154,BAMSA001
08-0193-2-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.398969,2.153493,B:SM 57 - Plaça Gal·la Placídia,Plaça de Gal·la Placídia, 2,Barcelona,0193,Barcelona,08,1,cotxe,,,92086026156,BAMSA002
08-0193-3-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.379559,2.16201,B:SM 46 - Urgell,Carrer del Comte d'Urgell, 14,Barcelona,0193,Barcelona,08,1,cotxe,,,92086027254,BAMSA003
08-0193-4-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.385654,2.177128,B:SM 51 - Mercat Santa Caterina,Avinguda  de Francesc Cambó, 10,Barcelona,0193,Barcelona,08,3,cotxe,,93.402.34.20,92086029366,BAMSA004
08-0193-4-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.385654,2.177128,B:SM 51 - Mercat Santa Caterina,Avinguda  de Francesc Cambó, 10,Barcelona,0193,Barcelona,08,3,cotxe,,93.402.34.20,92086029366,BAMSA004
08-0193-4-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.385654,2.177128,B:SM 51 - Mercat Santa Caterina,Avinguda  de Francesc Cambó, 10,Barcelona,0193,Barcelona,08,3,moto,,93.402.34.20,92086029366,BAMSA004
08-0193-5-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.38212617,2.168188081,B:SM 50 - Plaça dels Àngels,Carrer dels Àngels, 1,Barcelona,0193,Barcelona,08,3,cotxe,,93.441.05.04,92086032234,BAMSA005
08-0193-5-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.38212617,2.168188081,B:SM 50 - Plaça dels Àngels,Carrer dels Àngels, 1,Barcelona,0193,Barcelona,08,3,cotxe,,93.441.05.04,92086032234,BAMSA005
08-0193-5-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.38212617,2.168188081,B:SM 50 - Plaça dels Àngels,Carrer dels Àngels, 1,Barcelona,0193,Barcelona,08,3,moto,,93.441.05.04,92086032234,BAMSA005
08-0193-6-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.379272,2.169613,B:SM 49 - Sant Rafael,Carrer de Sant Rafael, 15,Barcelona,0193,Barcelona,08,4,cotxe,,,99400213399,BAMSA006
08-0193-6-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.379272,2.169613,B:SM 49 - Sant Rafael,Carrer de Sant Rafael, 15,Barcelona,0193,Barcelona,08,4,cotxe,,,99400213399,BAMSA006
08-0193-6-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.379272,2.169613,B:SM 49 - Sant Rafael,Carrer de Sant Rafael, 15,Barcelona,0193,Barcelona,08,4,cotxe,,,99400213399,BAMSA006
08-0193-6-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.379272,2.169613,B:SM 49 - Sant Rafael,Carrer de Sant Rafael, 15,Barcelona,0193,Barcelona,08,4,cotxe,,,99400213399,BAMSA006
08-0193-7-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.37532,2.169709,B:SM 48 - Plaça Raquel Meyer - Paral·lel,Carrer de l'Abat Safont, 2,Barcelona,0193,Barcelona,08,1,cotxe,,,92086038542,BAMSA007
08-0193-8-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.383144,2.150551,B:SM 55 -  Calàbria-València,Carrer de València,77 - Carrer de Calàbria, 182,Barcelona,0193,Barcelona,08,1,cotxe,,,99400233698,BAMSA008
08-0193-9-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.390085,2.143525,B:SM 58 - Tarradelles-Sarrià,Avinguda  de Josep Tarradellas, 139,Barcelona,0193,Barcelona,08,1,cotxe,,,92086038504,BAMSA009
08-0193-10-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.401794,2.160702,B:SM 47 - Siracusa,Carrer de Siracusa, 39 - 51,Barcelona,0193,Barcelona,08,1,cotxe,,,92086038672,BAMSA010
08-0193-11-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.379936,2.189115,B:SM 59- Barceloneta Centre,Carrer Escuder, 1,Barcelona,0193,Barcelona,08,1,cotxe,,,99400157844,BAMSA011
08-0193-12-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.374588,2.14287,B:SM 45 - Vilardell,Carrer de Vilardell, 20,Barcelona,0193,Barcelona,08,1,cotxe,,,94333141718,BAMSA012
08-0193-13-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.385727,2.14285,B:SM 52 - Tarradelles-Entença,Avinguda  de Josep Tarradellas, 64,Barcelona,0193,Barcelona,08,1,cotxe,,93.402.34.20,98301140004,BAMSA013
08-0193-14-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.384087,2.142749,B:SM 44 - Tarradelles-Nicaragua,Avinguda  de Josep Tarradellas, 46,Barcelona,0193,Barcelona,08,1,cotxe,,,99400032120,BAMSA014
08-0193-15-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,,,,,41.391087,2.147544,B:SM 53 - Londres,Carrer de Londres, 55,Barcelona,0193,Barcelona,08,1,cotxe,,,99400157822,BAMSA015
08-0193-17-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.3815475,2.1701661,B:SM 5 - Boqueria,Carrer de les Floristes de la Rambla-Plaça Gardunya,Barcelona,0193,Barcelona,08,9,cotxe,,93.302.87.45,75990436303,BSM001
08-0193-17-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.3815475,2.1701661,B:SM 5 - Boqueria,Carrer de les Floristes de la Rambla-Plaça Gardunya,Barcelona,0193,Barcelona,08,9,cotxe,,93.302.87.45,75990436303,BSM001
08-0193-17-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.3815475,2.1701661,B:SM 5 - Boqueria,Carrer de les Floristes de la Rambla-Plaça Gardunya,Barcelona,0193,Barcelona,08,9,cotxe,,93.302.87.45,75990436303,BSM001
08-0193-17-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.3815475,2.1701661,B:SM 5 - Boqueria,Carrer de les Floristes de la Rambla-Plaça Gardunya,Barcelona,0193,Barcelona,08,9,cotxe,,93.302.87.45,75990436303,BSM001
08-0193-17-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.3815475,2.1701661,B:SM 5 - Boqueria,Carrer de les Floristes de la Rambla-Plaça Gardunya,Barcelona,0193,Barcelona,08,9,cotxe,,93.302.87.45,75990436303,BSM001
08-0193-17-6,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.3815475,2.1701661,B:SM 5 - Boqueria,Carrer de les Floristes de la Rambla-Plaça Gardunya,Barcelona,0193,Barcelona,08,9,cotxe,,93.302.87.45,75990436303,BSM001
08-0193-17-7,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.3815475,2.1701661,B:SM 5 - Boqueria,Carrer de les Floristes de la Rambla-Plaça Gardunya,Barcelona,0193,Barcelona,08,9,cotxe,,93.302.87.45,75990436303,BSM001
08-0193-17-8,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.3815475,2.1701661,B:SM 5 - Boqueria,Carrer de les Floristes de la Rambla-Plaça Gardunya,Barcelona,0193,Barcelona,08,9,cotxe,,93.302.87.45,75990436303,BSM001
08-0193-17-9,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.3815475,2.1701661,B:SM 5 - Boqueria,Carrer de les Floristes de la Rambla-Plaça Gardunya,Barcelona,0193,Barcelona,08,9,cotxe,,93.302.87.45,75990436303,BSM001
08-0193-18-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.407211,2.151497,B:SM 39 - Torrent de l'Olla,Carrer del Torrent de l'Olla, 221,Barcelona,0193,Barcelona,08,3,cotxe,,93.218.09.42,92086026155,BSM002
08-0193-18-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.407211,2.151497,B:SM 39 - Torrent de l'Olla,Carrer del Torrent de l'Olla, 221,Barcelona,0193,Barcelona,08,3,cotxe,,93.218.09.42,92086026155,BSM002
08-0193-18-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.407211,2.151497,B:SM 39 - Torrent de l'Olla,Carrer del Torrent de l'Olla, 221,Barcelona,0193,Barcelona,08,3,cotxe,,93.218.09.42,92086026155,BSM002
08-0193-19-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.401408,2.133986,B:SM 12 - Ferran Casablancas,Carrer de Josep Balari, 9,Barcelona,0193,Barcelona,08,4,cotxe,,93.417.93.56,92086038544,BSM003
08-0193-19-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.401408,2.133986,B:SM 12 - Ferran Casablancas,Carrer de Josep Balari, 9,Barcelona,0193,Barcelona,08,4,cotxe,,93.417.93.56,92086038544,BSM003
08-0193-19-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.401408,2.133986,B:SM 12 - Ferran Casablancas,Carrer de Josep Balari, 9,Barcelona,0193,Barcelona,08,4,cotxe,,93.417.93.56,92086038544,BSM003
