request date,year,type of request_recode,INTERVENTO_TIPO,Address_complete,procedure_start_date,outcome,procedure_end_date,construction_starting_date,urban_plan_code,urban_plan_name,Actual_use,Future_use,VARIANTE
1/7/2015,2015,super DIA,SP-nuova costruzione e ampliamento  - art. 27.1 lettera e. 1) 3) 5) 6) 7)  L.R.12/2005 - art. 67.1.1 R.E.,VIA PARRI FERRUCCIO N.  0 milan italy,1/7/2015,,,,,,,,
1/7/2015,2015,super DIA,ristrutturazione mediante sostituzione edilizia totale o parziale - art 30 L.98/2013  - art. 66.3.3 R. E. ,VIA GALLARATE N.  205 milan italy,1/7/2015,ammissibile,1/19/2015,1/31/2012,,,industriale,direzionale,1
1/7/2015,2015,permesso di costruire,Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05,VIA RENI GUIDO N.  16 milan italy,5/27/2015,concessa,7/15/2015,7/28/2015,,,residenziale,residenziale,
1/7/2015,2015,permesso di costruire,Ristrutturazione edilizia con demolizione e ricostruzione con la stessa s.l.p. preesistente (sostituzione edilizia) - art.3.1 lettera d) DPR 380/2001Ristrutturazione edilizia senza demolizione e ricostruzione - art.3.1 lettera d) DPR 380/2001,VIA SIBARI N.  15 milan italy,1/7/2015,diniegata,1/25/2016,,,,artigianale,artigianale,
1/8/2015,2015,super DIA,SP-manutenzione straordinaria art 27.1 lett. b) L.R.12/05 art. 64 R.E. non rientrante nell'elenco di cui a comma 2 art. 6 DPR 380/2001,VIA BROGGINI BONAVENT N.  6 milan italy,1/8/2015,ammissibile,2/17/2015,,,,residenziale,commerciale,
1/8/2015,2015,SCIA,SP-manutenzione straordinaria art 27.1 lett. b) L.R.12/05 art. 64 R.E. non rientrante nell'elenco di cui a comma 2 art. 6 DPR 380/2001SP-ristrutturazione edilizia - art. 27.1 lettera d) L.R.12/2005 - art.66.3.2 R.E.,VIA MONNERET DE VILLA N.  1 milan italy,1/8/2015,,,6/13/2014,,,,,1
1/8/2015,2015,SCIA,,VIA VARESINA N.  91 milan italy,1/8/2015,negativo,3/5/2015,11/22/2012,,,residenziale,residenziale,1
1/8/2015,2015,super DIA,utilizzo del patrimonio edilizio esistente ai sensi dell'art.3 L.R. n. 4/2012 ,VIALE TORELLI LUIGI N.  6 milan italy,1/8/2015,,,,,,residenziale,residenziale,
1/8/2015,2015,permesso di costruire,Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05,VIA TALLONE CESARE N.  6 milan italy,6/9/2016,diniegata,6/9/2016,,,,residenziale,residenziale,
1/8/2015,2015,super DIA,recupero abitativo di sottotetto ai sensi degli artt. 63 64 65 L.R.12/2005 ,VIA FLLI ZOIA N.  216 milan italy,1/8/2015,,,12/27/2013,,,residenziale,residenziale,1
1/8/2015,2015,super DIA,Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05,VIA VIVALDI ANTONIO N.  14 milan italy,1/8/2015,ammissibile,4/21/2015,,,,residenziale,residenziale,
1/8/2015,2015,permesso di costruire,Ristrutturazione edilizia senza demolizione e ricostruzione - art.3.1 lettera d) DPR 380/2001,VIA PIER LOMBARDO N.  23 milan italy,10/20/2015,sospesa,5/4/2016,4/18/2016,,,residenziale,residenziale,
1/8/2015,2015,permesso di costruire,Ristrutturazione edilizia senza demolizione e ricostruzione - art.3.1 lettera d) DPR 380/2001,VIA PIER LOMBARDO N.  23 milan italy,10/20/2015,annullamento d'ufficio,12/10/2015,,,,residenziale,residenziale,
1/8/2015,2015,super DIA,Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05,VIA PIER LOMBARDO N.  23 milan italy,1/8/2015,diffidata,2/9/2015,,,,residenziale,residenziale,
1/9/2015,2015,super DIA,Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05Ristrutturazione edilizia senza demolizione e ricostruzione - art.3.1 lettera d) DPR 380/2001,VIA TURRONI GEROLAMO N.  11  PIANO T-1-2 milan italy,1/9/2015,ammissibile,2/25/2015,2/9/2015,,,residenziale,residenziale,
1/12/2015,2015,super DIA,recupero abitativo di sottotetto ai sensi degli artt. 63 64 65 L.R.12/2005 ,VIA S. TOMASO N.  10 milan italy,1/12/2015,,,,,,residenziale,residenziale,1
1/12/2015,2015,permesso di costruire,ristrutturazione mediante sostituzione edilizia totale o parziale - art 30 L.98/2013  - art. 66.3.3 R. E.,VIA CARACCIOLO FRANCE N.  94 INTERNO 0  PIANO 1 milan italy,1/12/2015,concessa,2/19/2016,4/11/2016,,,industriale,industriale,
1/12/2015,2015,super DIA,Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001Ristrutturazione edilizia senza demolizione e ricostruzione - art.3.1 lettera d) DPR 380/2001,VIA CURIO DENTATO N.  4  PIANO 1 milan italy,1/12/2015,ammissibile,4/24/2015,4/9/2015,,,residenziale,residenziale,
1/12/2015,2015,permesso di costruire,,VIA VARESE N.  10 milan italy,1/12/2015,,,,,,direzionale,residenziale,
