id,Column,gender,postcode,longitude,latitude,leeftijd,age,gezondh,verwink,inkbron,opleiding,education,huishouden,family,geslacht,suggestion,remarks,created_at,theme_completed,finished_at,VR1_1,VR1_2,VR1_3,VR1_4,VR1_5,VR1_6,VR1_7,VR1_O,VR3_1,VR3_2,VR3_3,VR3_4,VR3_5,VR3_6,VR3_7,VR3_O,VR4,VR4_O,VR5_1,VR5_2,VR5_3,VR5_4,VR5_5,VR5_6,VR5_7,VR5_O,VR6_1,VR6_2,VR6_3,VR6_4,VR6_5,VR6_6,VR6_7,VR6_O,VR7,VR7_O,VR8,VR8_O,VR9,VR9_O,VR10,VR10_O,VR13_1,VR13_2,VR13_3,VR13_4,VR13_5,VR13_6,VR13_7,VR13_O,VR11,VR11_O,VR12,VR12_O,VR48_1,VR48_2,VR48_3,VR48_4,VR48_5,VR48_6,VR48_7,VR48_O,VR14_1,VR14_2,VR14_3,VR14_4,VR14_5,VR14_6,VR14_7,VR14_O,VR15_1,VR15_2,VR15_3,VR15_4,VR15_5,VR15_6,VR15_7,VR15_O,VR16,VR16_O,VR17,VR17_O,VR18_1,VR18_2,VR18_3,VR18_4,VR18_5,VR18_6,VR18_7,VR18_O,VR19,VR19_O,VR20,VR20_O,VR21_1,VR21_2,VR21_3,VR21_4,VR21_5,VR21_6,VR21_7,VR21_O,VR22_1,VR22_2,VR22_3,VR22_4,VR22_5,VR22_6,VR22_7,VR22_O,VR23,VR23_O,VR24,VR24_O,VR25_1,VR25_2,VR25_3,VR25_4,VR25_5,VR25_6,VR25_8,VR25_O,VR26,VR26_O,VR27,VR27_O,VR28,VR28_O,VR29,VR29_O,VR30,VR30_O,VR32,VR32_O,VR31_1,VR31_2,VR31_3,VR31_4,VR31_5,VR31_6,VR31_7,VR31_O,VR33,VR33_O,VR34_1,VR34_2,VR34_3,VR34_4,VR34_5,VR34_6,VR34_7,VR34_O,VR35,VR35_O,VR36,VR36_O,VR37,VR37_O,VR38,VR38_O,VR39,VR39_O,VR40,VR40_O,VR41_1,VR41_2,VR41_3,VR41_4,VR41_5,VR41_6,VR41_7,VR41_O,VR42,VR42_O,VR43_1,VR43_2,VR43_3,VR43_4,VR43_5,VR43_6,VR43_7,VR43_O,VR44_1,VR44_2,VR44_3,VR44_4,VR44_5,VR44_6,VR44_7,VR44_O,VR45_1,VR45_2,VR45_3,VR45_4,VR45_5,VR45_6,VR45_7,VR45_O,VR46_1,VR46_3,VR46_4,VR46_5,VR46_6,VR46_7,VR46_8,VR46_O,VR47,VR47_O,VR2,VR2_O,VR49,VR49_O,VR50,VR50_O,VR51_1,VR51_2,VR51_3,VR51_4,VR51_5,VR51_6,VR51_7,VR51_O,VR52_1,VR52_2,VR52_3,VR52_4,VR52_5,VR52_O,VR53_1,VR53_2,VR53_3,VR53_4,VR53_5,VR53_6,VR53_7,VR53_O,VR54_1,VR54_2,VR54_3,VR54_4,VR54_5,VR54_6,VR54_7,VR54_O,VR55_1,VR55_2,VR55_3,VR55_4,VR55_5,VR55_6,VR55_7,VR55_O,VR56_1,VR56_2,VR56_3,VR56_4,VR56_5,VR56_6,VR56_7,VR56_O,VR57,VR57_O,VR58,VR58_O,VR59,VR59_O,VR60,VR60_O,VR61_1,VR61_2,VR61_3,VR61_4,VR61_5,VR61_6,VR61_7,VR61_O,VR62_1,VR62_2,VR62_3,VR62_4,VR62_5,VR62_6,VR62_7,VR62_O,VR63,VR63_O,VR64,VR64_O,VR65_1,VR65_2,VR65_3,VR65_4,VR65_5,VR65_6,VR65_7,VR65_O,VR66,VR66_O,VR68,VR68_O,VR69_1,VR69_2,VR69_3,VR69_4,VR69_5,VR69_6,VR69_7,VR69_O,VR67_1,VR67_2,VR67_3,VR67_4,VR67_5,VR67_6,VR67_7,VR67_O,VR70,VR70_O
207,1434,2,3023AS,4.449064068,51.91635119,14,2003, , , , , , ,,2, , ,27/12/2016 21:04,1, ,,,,,,,, ,,,,,,,, , , ,,,,,,,, ,,,,,,,, , , , , , , , ,Empty,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , , , , , , , ,3, ,,,,,"Via organisaties als kerk, vereniging, moskee",,, ,3, ,,,,,Hun passie en zelfontplooiing,,, ,5, ,4, ,3, ,3, ,3, ,1, ,,,,,,,, , , ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,,,,,,, ,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , 
214,1835,2,3027AH,4.43907302,51.91694713,38,1979, , , ,5,5,5,5,2,"Onderwijs, voor de ontwikkeling van kinderen en de jeugd, voor de ondersteuning van gezinnen, voor het samenkomen van gezinnen onderling en daarmee het vergroten van de saamhorigheid in de stad.",test,29/12/2016 09:59,1,29/12/2016 10:19,,,,,,,, ,,,,,,,, , , ,,,,,,,, ,,,,,,,, , , , , , , , ,Empty,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,Betere school-en sportgebouwen,Meer clubs en verenigingen,,"Meer afgesloten, veilige binnenspeeltuinen",,, ,"Op een (sport-) club, in een vereniging etc.",,Op school / opvang,,,,, ,3, ,6, ,Meer sport en bewegen,Meer leren en studeren,,Meer buiten spelen,,,, ,1, ,2, ,3, ,3, , , ,3, ,,,,,,Kinderen gaan gewoon nog naar school,, ,3, ,Sociale competenties en vaardigheden,Internationale oriâˆ_Â´ntatie en talenkennis,,,,Ondernemerschap,, ,3, , , ,5, ,5, ,1, , , ,,,,,,,, , , ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,,,,,,, ,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , 
231,1655,1,3024ES,4.459082638,51.90254656,42,1975, ,6,3, , , ,,1, , ,2/1/2017 14:39,1, ,"Meer cultuur en gezelligheid: bibliotheek, theater, horeca",,,Meer sport: binnen en buiten,"Meer buitenruimte: parken, speelpleinen",,, ,,,Ik bestel alles via internet en laat het bezorgen,,,,, ,6, ,Betaalde professionele verzorging thuis,,,,,,, ,,Duurzaam gebouwde woningen,Flexibele woningen die je beter kan aanpassen,Meer variatie aan woningen door zelfbouw en minder regels,,,, ,6, ,2, ,1, ,1,Empty,,,,,,"Overal b.v. in een cafâˆ_Â©, bibliotheek",, ,5, ,1, ,,,,,,,, ,,,,,Ik start een eigen bedrijf,,, ,,,,,"Learning by doing, ik leer het meest in de praktijk",,, ,2, ,3, ,Mijn pensioen,,Mijn eigen werkplek,Mijn werktijden,,,, ,3, ,1, ,,,,,,,, ,,,,Online,,,Op straat en in de buurt, , , , , ,,,,,,,, , , , , , , , , , , , , ,,,,,,,, , , ,,,,,,,, , , , , , , , , , , , , ,,,,,,,, , , ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , ,1, , , , , ,,,,,,,, ,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , 
233,1656,1,3024ES,4.459082638,51.90254656,36,1981, , , , , , ,,1, , ,2/1/2017 21:25,1, ,,,,,,,, ,,,,,,,, , , ,,,,,,,, ,,,,,,,, , , , , , , , ,Empty,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , , , , , , , , , ,,,,,,,, , , ,,,,,,,, , , , , , , , , , , , , ,,Rotterdammer,,,,,, ,3, ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , ,3, , , ,,,,,,,, ,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,Kleine dingen die je minder vaak nodig hebt zoals gereedschap,Digitale diensten zoals internet en streaming diensten,,,,, ,,,Ik koop energie dan collectief in - dat is goedkoper,,,,, ,1, ,3, ,"Minder consumeren, minder nieuw kopen",Mijn spullen langer blijven gebruiken,,Meehelpen met het opruimen van zwerfafval,Alleen nog duurzaam geproduceerde producten kopen,,, ,2, ,1, ,,,,,Zelfsturende taxis,,, ,Verbod op vervuilers als vrachtverkeer en cruiseschepen,Fietskilometervergoeding ipv autokilometervergoeding,,,,Veel extra groen en veel bomen,, ,1, 
235,1657,2,3024ES,4.459082638,51.90254656,27,1990, ,6,6,5,5,3,3,2, , ,3/1/2017 7:39,1, ,,,Meer mogelijkheden om te werken,,,,, ,,,,,,Ik bestel direct bij de producent,, ,4, ,,,,,,Met een groep zorg zelf inkopen en delen,, ,,,,Meer variatie aan woningen door zelfbouw en minder regels,,,, ,6, ,6, ,3, ,1,Empty,,,,,,"Overal b.v. in een cafâˆ_Â©, bibliotheek",, ,3, ,4, ,,,,Zorg voor een famillielid of vriend,,,, ,,,,,,Ik maak zo veel mogelijk zelf en ruil spullen met anderen,, ,,,,,,Ik laat me coachen om mijn persoonlijke talenten te ontwikkelen,, ,3, ,2, ,,,,,,Vangnet voor als ik werkloos word,, ,6, ,1, ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , , , , , , , ,4, ,,,,,,Kinderen gaan gewoon nog naar school,, ,3, ,,Internationale oriâˆ_Â´ntatie en talenkennis,,,,,, ,4, ,5, ,3, ,6, ,2, ,1, ,,,,,,Verbonden met een ander land (niet Nederland),, ,3, ,,,,Bij verenigingen of clubs,,,, ,,,,,,Particuliere bewakers,, ,,,,,,Elkaar: zorg voor andere ouderen,, ,,,,,,"Voor mensen in nood, wij zijn er om elkaar te helpen",, ,4, ,4, ,3, ,1, ,,,,,,,, ,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, ,6, , , ,,,,,,Een eigen hooverboard of segway,, ,,,,,,Veel extra groen en veel bomen,, , , 
242,1658,1,3024ES,4.459082638,51.90254656,30,1987, , , , , , ,,1, , ,3/1/2017 9:01,0, ,,,,,,,, ,,,,,,,, , , ,,,,,,,, ,,,,,,,, , , , , , , , ,Empty,,,,,,,, , , , , ,,,,,,,, ,,,,,Ik start een eigen bedrijf,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , , , , , , , , , ,,,,,,,, , , ,,,,,,,, , , , , , , , , , , , , ,,,,,,,, , , ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,,,,,,, ,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , 
253,1766,1,3025NS,4.438609905,51.91067402,40,1977,5, , , , , ,,1, , ,3/1/2017 12:13,1, ,,,,,,,, ,,,,,,,, , , ,,,,,,,, ,,,,,,,, , , , , , , , ,Empty,,,,,,,, , , , , ,,Mijn gezin en vrienden,,Zorg voor een famillielid of vriend,,,Reizen en de wereld verkennen, ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , , , , , , , , , ,,,,,,,, , , ,,,,,,,, , , , , , , , , , , , , ,,Rotterdammer,,,,,"Anders, namelijkâ€_Ã„Â¶", ,3, ,,,,Bij verenigingen of clubs,Religieuze gebouwen,,, ,,,,Vrijwilligers: buurtvaders en -moeders,Preventie: jeugdcoaches en voorlichting,,"Anders, namelijkâ€_Ã„Â¶", ,,,,Algemeen nut: vrijwilligerswerk,Zichzelf: lekker genieten,Elkaar: zorg voor andere ouderen,, ,,,,,,"Voor mensen in nood, wij zijn er om elkaar te helpen",, ,2, , , ,2, ,1, ,,,,,Alleen voor kinderen en ouderen,,, ,,,Weet ik (nog) niet,,, ,Ik zorg voor eigen familie of vrienden,,Ik doe klusjes en boodschappen voor oudere buren,Ik doe vrijwilligerswerk bij een zorginstelling,,,, ,,,Preventie: gezond gedrag belonen,,,,, ,Mijn familie,"Mijn huisarts, ziekenhuis",,,,Ikzelf,, ,Kinderen vroeg stimuleren om te sporten,,,,,,, ,1, ,1, ,5, ,1, ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , 
310,1659,1,3024ES,4.459082638,51.90254656,10,2007, , , , , , ,,1, , ,8/1/2017 21:54,0, ,,,,,,,, ,,,,,,,, , , ,,,,,,,, ,,,,,,,, , , , , , , , ,Empty,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , , , , , , , , , ,,,,,,,, , , ,,,,,,,, , , , , , , , , , , , , ,,,,,,,, , , ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,,,,,,, ,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , 
344,1661,1,3024ES,4.459082638,51.90254656,34,1983, ,1, , , , ,,1, , ,10/1/2017 19:54,1, ,,Meer ontmoeten: wijk- of buurtgebouw,,Meer sport: binnen en buiten,,,, ,In grote supermarkten en winkelketens,,,,,,, ,1, ,Betaalde professionele verzorging thuis,,Verhuizen naar een land waar zorg goedkoper is,,,,, ,Woningen bereikbaar voor mensen met een kleine beurs,,,Meer variatie aan woningen door zelfbouw en minder regels,,,, ,1, ,2, ,3, ,1,Empty,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , , , , , , , , , ,,,,,,,, , , ,,,,,,,, , , , , , , , , , , , , ,,,,,,,, , , ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , ,2, , , , , ,,,,,,,, ,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , 
366,1931,2,3028JC,4.420752155,51.91761281,56,1961, , , , , , ,,2, , ,13/01/2017 08:16,0, ,"Meer cultuur en gezelligheid: bibliotheek, theater, horeca",,,Meer sport: binnen en buiten,,,, ,In grote supermarkten en winkelketens,Ik ga bewust naar kleine winkels in de buurt,,,,,, , , ,,,,,,,, ,,Duurzaam gebouwde woningen,Flexibele woningen die je beter kan aanpassen,Meer variatie aan woningen door zelfbouw en minder regels,,,, , , , , , , , ,Empty,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , , , , , , , , , ,,,,,,,, , , ,,,,,,,, , , , , , , , , , , , , ,,,,,,,, , , ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , ,7, , , , , ,,,,,,,, ,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, ,,,,,,,, , , , , , , , , ,,,,,,,, ,,,,,,,, , , , , ,,,,,,,, , , , , ,,,,,,,, ,,,,,,,, , , 
